phecode,aou,mgi,ukb,plus20
CV_416.213,3993,537,453,1
CV_416.214,783,294,,0
CV_416.22,4950,2739,207,1
CV_416.221,1205,967,140,1
CV_416.222,641,879,70,1
CV_416.3,900,448,667,1
CV_416.31,810,399,,0
CV_416.32,106,69,,0
CV_416.4,13730,6709,13914,1
CV_416.41,6042,3381,5912,1
CV_416.411,3922,2410,3315,1
CV_416.412,1118,484,1222,1
CV_416.413,1531,870,1607,1
CV_416.42,4261,1945,4686,1
CV_416.43,5211,2646,4485,1
CV_416.5,11307,4795,2040,1
CV_416.51,4011,1483,322,1
CV_416.52,7118,2913,1207,1
CV_416.6,2131,1258,,0
CV_416.7,3100,1549,1119,1
CV_416.71,2371,822,1119,1
CV_416.8,338,175,334,1
CV_417,56553,19983,15120,1
CV_417.1,32394,9025,6367,1
CV_417.2,24676,10213,4206,1
CV_417.3,13199,6123,5053,1
CV_418,32321,19898,1484,1
CV_418.1,25957,19058,,0
CV_418.2,4114,,543,0
CV_419,362,3182,4312,1
CV_419.1,199,1917,,0
CV_419.2,213,1766,,0
CV_420,1465,805,2345,1
CV_423,11687,8435,2048,1
CV_423.1,11343,8385,2038,1
CV_424,21044,8054,13882,1
CV_424.1,2035,513,7518,1
CV_424.2,8602,3072,,0
CV_424.3,9693,3474,,0
CV_424.4,3932,1680,,0
CV_424.5,712,312,,0
CV_424.7,81,34,,0
CV_425,13690,2753,7338,1
CV_426,8216,4808,6177,1
CV_430,3456,1451,3624,1
CV_430.1,1136,476,1413,1
CV_430.2,1690,662,1693,1
CV_430.3,1018,487,613,1
CV_430.4,54,38,28,1
CV_431,16472,6920,14960,1
CV_431.1,11764,5123,11789,1
CV_431.11,10231,4546,7482,1
CV_431.12,2513,981,2917,1
CV_431.13,81,5,36,0
CV_431.14,136,15,35,0
CV_431.15,43,3,72,0
CV_431.2,6429,2844,3892,1
CV_433,16148,7664,9079,1
CV_433.1,2252,658,1580,1
CV_433.2,9001,3373,2211,1
CV_433.21,7499,3141,2044,1
CV_433.3,3457,935,151,1
CV_433.31,204,26,,0
CV_433.32,576,215,113,1
CV_433.34,61,8,36,0
CV_433.4,73,18,4,0
CV_436,38209,14585,32893,1
CV_436.1,1010,443,118,1
CV_436.2,4437,2510,671,1
CV_436.23,322,140,,0
CV_436.3,6204,1404,279,1
CV_436.4,109,43,,0
CV_436.5,1202,158,643,1
CV_438,12074,5664,5137,1
CV_438.1,7677,3903,3088,1
CV_438.11,2711,1990,2094,1
CV_438.12,4952,2256,753,1
CV_438.13,265,290,54,1
CV_438.14,168,212,197,1
CV_438.2,942,562,557,1
CV_438.3,362,151,169,1
CV_438.4,1265,856,491,1
